revenue,popularity,budget,vote_average,vote_count
28084357,13.817269,0,6.9,275
40105542,13.237835,15000000,4.7,295
24769466,19.517239,15000000,6.3,380
85306374,30.669913,15000000,7.3,1105
23237911,15.355589000000002,11500000,7.5,202
43101594,19.85579,15000000,7.5,796
21000000,3.043589,15000000,6.1,52
38574362,8.885017,14000000,4.4,100
22165608,7.679336,20000000,5.0,163
20566327,18.268009,15000000,6.0,421
20529194,7.809701,15000000,5.9,80
17507368,9.378688,15000000,5.5,104
35485608,35.395129,15000000,6.8,1653
32556119,45.317278,15000000,6.0,639
42000000,47.006161999999996,15000000,7.2,1840
17080167,11.379652,15000000,5.9,173
37930465,24.612603,15000000,5.8,742
31554855,26.708192999999998,15000000,6.5,541
22730842,0.33519499999999997,15000000,6.7,10
15843608,11.782725,25000000,4.4,104
59389433,16.629173,15000000,7.0,978
16633035,20.05902,15000000,6.7,357
12000000,8.113634,15000000,5.9,97
15608545,17.672021,15000000,5.2,358
10443316,3.033471,15000000,4.8,32
14867514,10.9071,15000000,6.0,211
46189568,49.230089,15000000,7.8,2926
10903846,11.429607,15000000,6.6,243
9237470,6.373316,15000000,6.5,85
18928871,9.717392,16000000,6.7,95
9902115,8.074807,15000000,5.0,37
8586376,7.034752,20000000,4.7,146
34533783,25.329493,15000000,7.4,1388
8762890,13.832376000000002,15000000,5.6,156
6405245,7.4460690000000005,15000000,5.0,100
8138788,13.568302,15000000,6.0,243
35097815,21.857387,15000000,6.8,350
5217498,0.249245,15000000,4.7,15
12036149,12.163832000000001,15000000,7.0,177
15785148,32.690038,15000000,7.2,886
4152230,8.583217,25000000,6.1,182
20117339,31.60985,15000000,7.6,1477
9455232,30.983396999999997,15000000,6.8,737
5926410,11.428903,15000000,6.5,195
7938872,15.175289000000001,15000000,6.3,545
650422,32.351527000000004,92620000,8.0,657
9584131,17.493735,12000000,6.5,565
529766,6.932221000000001,8000000,6.7,85
632542,8.142166,15000000,6.6,157
8936663,9.029489,8500000,6.0,152
6814789,22.708647,12000000,5.9,386
76382,2.609057,15000000,5.0,22
3533227,19.913960999999997,15000000,6.0,290
23000,1.833058,15000000,6.1,7
20380,12.185203999999999,15000000,5.7,41
27187375,6.459787,20000000,5.8,72
70906973,52.744331,14600000,7.4,2301
122513057,29.660992999999998,14800000,6.3,706
147298761,41.493041999999996,14500000,6.7,1374
17511906,10.072199000000001,10000000,7.2,196
159157447,37.380435,14000000,7.7,1113
674918,7.05145,14200000,6.9,78
377910544,59.25896899999999,15000000,7.6,2827
320145693,16.742972,14000000,6.6,291
463000000,45.473484,14000000,7.0,1746
239606210,15.474831,0,5.5,303
161001698,25.949277,14000000,6.7,395
154864401,22.409117000000002,14000000,6.8,491
100734718,13.706357,15000000,5.3,299
75511123,6.92205,13000000,6.1,88
185438673,27.173470000000002,14000000,6.6,507
72527595,12.159009,14000000,5.6,290
34793160,13.13724,14000000,6.5,135
114956699,23.3784,13000000,6.2,527
27515786,3.650857,14000000,6.9,47
25482931,5.102258,14000000,5.8,48
19800000,6.772614999999999,14000000,4.5,111
30749142,11.543363000000001,14000000,4.5,133
22852638,20.792603,14000000,6.2,351
21409028,6.733485000000001,14000000,5.7,39
21001563,2.2386459999999997,12000000,5.8,32
13196245,4.536745,11000000,5.0,55
16951798,11.220642999999999,11000000,4.5,291
10424470,4.66723,14000000,5.3,73
11417362,7.487842999999999,14000000,5.5,134
19777647,13.65494,14000000,7.4,283
14821658,11.942862,26000000,6.9,240
5108820,5.833687,14000000,5.5,68
4291965,4.052219,0,6.4,25
2474000,0.900442,14000000,5.2,10
5405500,9.242554,0,6.3,204
46495,4.8984239999999994,14000000,6.1,86
1755212,24.210698,14000000,7.4,418
178043761,44.135568,14000000,7.5,1480
29027914,9.982885000000001,13500000,6.9,144
12314651,16.618873999999998,14000000,5.0,354
7060876,7.261196000000001,13500000,6.8,128
19422261,32.306455,15000000,6.7,1206
92180910,32.445895,18339750,7.7,1037
38535221,17.363739000000002,12806000,7.2,219
5380251,29.782161,13300000,6.0,1102
123922370,18.362333,13000000,7.1,642
16700000,0.6807529999999999,13400000,4.7,7
98441954,6.735922,13000000,4.8,154
327803731,91.28568299999999,13000000,7.3,4430
47542841,105.79293600000001,13000000,8.3,3338
91038276,9.969624000000001,13000000,6.3,352
72500000,17.113408,7000000,5.8,281
77000000,10.248439,16000000,6.7,186
73180723,25.316146,13000000,5.2,509
44726644,9.499325,13000000,6.6,258
54837234,43.791745,13000000,7.1,763
49002684,11.828068,12500000,6.0,210
53478166,54.550275,16000000,7.3,1701
119100758,60.829620999999996,17000000,6.2,1567
96060858,73.307513,13000000,7.3,2060
36450736,4.580081,12000000,3.3,75
27007143,6.425528,13000000,6.1,109
35763605,16.681567,13000000,5.8,308
53830415,24.656067999999998,13200000,5.6,181
57096190,37.104353,18000000,6.7,1399
36869414,95.130041,15000000,7.6,4737
22863596,27.546914,13000000,7.3,1101
45300000,17.371326999999997,13000000,5.7,290
16929123,6.130096,13000000,6.6,96
68673228,24.472479999999997,19000000,7.2,541
11130889,6.764436999999999,13000000,6.2,123
8026971,1.750054,13000000,5.5,10
35401758,66.11334000000001,6000000,8.1,2757
7820688,6.170139,13000000,6.4,135
27500000,4.7425370000000004,13000000,5.7,67
16757163,11.880899000000001,13000000,5.5,135
48065672,35.522027,13000000,5.7,737
4857367,10.573191,13000000,6.8,207
18000000,17.632445999999998,13000000,5.4,304
8459458,26.373864,15000000,5.9,498
9789900,1.6473349999999998,13000000,4.8,4
2636637,12.321302000000001,13000000,6.5,138
33400000,43.444134999999996,13000000,7.7,2968
